name,fight_record,nickname,Height,Weight,Reach,STANCE,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,timestamp
Ryan Spann,23-11-0,Superman,"6'5""",205lbs.,"79""",Orthodox,"Aug24,1991",3.19,39%,4.14,43%,1.30,34%,52%,1.8,2025-07-24 10:17:07.375392
Ron Sparks,8-3-0,The Monster,"6'5""",265lbs.,--,,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Tommy Speer,21-7-0,,"5'10""",170lbs.,"71""",Orthodox,"Aug20,1984",2.56,51%,5.12,35%,2.02,33%,33%,0.0,2025-07-24 10:17:07.375392
Patrick Speight,7-3-0,,"6'1""",170lbs.,--,Orthodox,--,0.00,0%,0.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Sean Spencer,12-6-0,Black Magic,"5'10""",170lbs.,"74""",Orthodox,"Jun25,1987",4.24,32%,4.02,60%,0.14,33%,68%,0.0,2025-07-24 10:17:07.375392
Felicia Spencer,9-3-0,FeeNom,"5'6""",145lbs.,"68""",Orthodox,"Nov29,1990",3.21,48%,4.54,45%,1.18,18%,27%,0.2,2025-07-24 10:17:07.375392
Sam Spengler,9-5-0,The Ram,"5'11""",185lbs.,--,Orthodox,--,3.27,62%,3.27,54%,1.75,11%,75%,1.8,2025-07-24 10:17:07.375392
Nick Sperling,3-4-0,,--,135lbs.,--,,--,1.40,25%,1.40,66%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Mario Sperry,13-4-0,Zen Machine,"6'2""",205lbs.,--,Orthodox,"Sep28,1966",2.81,52%,1.53,47%,2.09,42%,71%,1.4,2025-07-24 10:17:07.375392
Eric Spicely,12-6-0,Zebrinha,"6'1""",185lbs.,"73""",Orthodox,"Sep29,1986",3.71,45%,5.72,55%,1.31,20%,75%,1.0,2025-07-24 10:17:07.375392
Waachiim Spiritwolf,12-13-1 (2 NC),Native Warrior,"5'8""",170lbs.,--,,--,10.00,100%,10.00,0%,0.00,0%,0%,0.0,2025-07-24 10:17:07.375392
Daniel Spitz,6-3-0,,"6'7""",245lbs.,"82""",Orthodox,"Jul31,1990",2.60,35%,5.30,46%,0.74,66%,0%,0.0,2025-07-24 10:17:07.375392
Serghei Spivac,17-6-0,Polar Bear,"6'3""",260lbs.,"78""",Orthodox,"Jan24,1995",3.45,48%,4.25,50%,4.21,62%,63%,0.5,2025-07-24 10:17:07.375392
Daniel Spohn,15-6-0,Dragon,"6'4""",205lbs.,"79""",Southpaw,"Oct12,1984",2.42,49%,1.60,53%,0.00,0%,28%,2.5,2025-07-24 10:17:07.375392
Pete Spratt,25-23-0,The Secret Weapon,"5'9""",170lbs.,--,Orthodox,"Jan09,1971",1.63,48%,1.33,55%,0.30,100%,46%,0.3,2025-07-24 10:17:07.375392
