EVENT,URL,DATE,LOCATION,timestamp,year,month,day,day_of_week,city,state,country,is_ppv,is_fight_night
UFC Fight Night: Blaydes vs. Daukaus,http://ufcstats.com/event-details/1fac46d466abd5b8,2022-03-26,"Columbus, Ohio, USA",,2022,3,26,5,Columbus,Ohio,USA,False,True
UFC Fight Night: Volkov vs. Aspinall,http://ufcstats.com/event-details/1d00756835ca67c9,2022-03-19,"London, England, United Kingdom",,2022,3,19,5,London,England,United Kingdom,False,True
UFC Fight Night: Santos vs. Ankalaev,http://ufcstats.com/event-details/1f9344211ca7fd60,2022-03-12,"Las Vegas, Nevada, USA",,2022,3,12,5,Las Vegas,Nevada,USA,False,True
UFC 272: Covington vs. Masvidal,http://ufcstats.com/event-details/75e0d3cc2262b732,2022-03-05,"Las Vegas, Nevada, USA",,2022,3,5,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Makhachev vs. Green,http://ufcstats.com/event-details/f6a7b02c42e9fc5b,2022-02-26,"Las Vegas, Nevada, USA",,2022,2,26,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Walker vs. Hill,http://ufcstats.com/event-details/77940e45bc86208e,2022-02-19,"Las Vegas, Nevada, USA",,2022,2,19,5,Las Vegas,Nevada,USA,False,True
UFC 271: Adesanya vs. Whittaker 2,http://ufcstats.com/event-details/cbb682f5fcc44bfc,2022-02-12,"Houston, Texas, USA",,2022,2,12,5,Houston,Texas,USA,True,False
UFC Fight Night: Hermansson vs. Strickland,http://ufcstats.com/event-details/883922e5cd6d8473,2022-02-05,"Las Vegas, Nevada, USA",,2022,2,5,5,Las Vegas,Nevada,USA,False,True
UFC 270: Ngannou vs. Gane,http://ufcstats.com/event-details/335ad945324c3a2e,2022-01-22,"Anaheim, California, USA",,2022,1,22,5,Anaheim,California,USA,True,False
UFC Fight Night: Kattar vs. Chikadze,http://ufcstats.com/event-details/f5585e675af7afd4,2022-01-15,"Las Vegas, Nevada, USA",,2022,1,15,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Lewis vs. Daukaus,http://ufcstats.com/event-details/2a470ad41c22c25a,2021-12-18,"Las Vegas, Nevada, USA",,2021,12,18,5,Las Vegas,Nevada,USA,False,True
UFC 269: Oliveira vs. Poirier,http://ufcstats.com/event-details/ef927e4fe2117ab8,2021-12-11,"Las Vegas, Nevada, USA",,2021,12,11,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Font vs. Aldo,http://ufcstats.com/event-details/509697e08673d2e5,2021-12-04,"Las Vegas, Nevada, USA",,2021,12,4,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Vieira vs. Tate,http://ufcstats.com/event-details/c95fbc085e17a532,2021-11-20,"Las Vegas, Nevada, USA",,2021,11,20,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Holloway vs. Rodriguez,http://ufcstats.com/event-details/b5abaa65f87938eb,2021-11-13,"Las Vegas, Nevada, USA",,2021,11,13,5,Las Vegas,Nevada,USA,False,True
UFC 268: Usman vs. Covington 2,http://ufcstats.com/event-details/48e093ea1f43a053,2021-11-06,"New York City, New York, USA",,2021,11,6,5,New York City,New York,USA,True,False
UFC 267: Blachowicz vs. Teixeira,http://ufcstats.com/event-details/3974fa35c917af1d,2021-10-30,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2021,10,30,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,True,False
UFC Fight Night: Costa vs. Vettori,http://ufcstats.com/event-details/8a9c6c4301f6d088,2021-10-23,"Las Vegas, Nevada, USA",,2021,10,23,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Ladd vs. Dumont,http://ufcstats.com/event-details/8f4616698508f24d,2021-10-16,"Las Vegas, Nevada, USA",,2021,10,16,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Dern vs. Rodriguez,http://ufcstats.com/event-details/d247691a6c0e9034,2021-10-09,"Las Vegas, Nevada, USA",,2021,10,9,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Santos vs. Walker,http://ufcstats.com/event-details/e15d0a2519d6a0b5,2021-10-02,"Las Vegas, Nevada, USA",,2021,10,2,5,Las Vegas,Nevada,USA,False,True
UFC 266: Volkanovski vs. Ortega,http://ufcstats.com/event-details/0eec866a077889f0,2021-09-25,"Las Vegas, Nevada, USA",,2021,9,25,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Smith vs. Spann,http://ufcstats.com/event-details/4c27ca8c8481f79a,2021-09-18,"Las Vegas, Nevada, USA",,2021,9,18,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Brunson vs. Till,http://ufcstats.com/event-details/b9532d815060de7f,2021-09-04,"Las Vegas, Nevada, USA",,2021,9,4,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Barboza vs. Chikadze,http://ufcstats.com/event-details/0db9d2486d564a3c,2021-08-28,"Las Vegas, Nevada, USA",,2021,8,28,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Cannonier vs. Gastelum,http://ufcstats.com/event-details/2f13e4020cea5b38,2021-08-21,"Las Vegas, Nevada, USA",,2021,8,21,5,Las Vegas,Nevada,USA,False,True
UFC 265: Lewis vs. Gane,http://ufcstats.com/event-details/972197a8c61ac413,2021-08-07,"Houston, Texas, USA",,2021,8,7,5,Houston,Texas,USA,True,False
UFC Fight Night: Hall vs. Strickland,http://ufcstats.com/event-details/320edfb0332b7073,2021-07-31,"Las Vegas, Nevada, USA",,2021,7,31,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Sandhagen vs. Dillashaw,http://ufcstats.com/event-details/e57f0b06ea39e360,2021-07-24,"Las Vegas, Nevada, USA",,2021,7,24,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Makhachev vs. Moises,http://ufcstats.com/event-details/40389d39a92f5bfa,2021-07-17,"Las Vegas, Nevada, USA",,2021,7,17,5,Las Vegas,Nevada,USA,False,True
UFC 264: Poirier vs. McGregor 3,http://ufcstats.com/event-details/8a0be41c0380188d,2021-07-10,"Las Vegas, Nevada, USA",,2021,7,10,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Gane vs. Volkov,http://ufcstats.com/event-details/a1d6b308781aa2f5,2021-06-26,"Las Vegas, Nevada, USA",,2021,6,26,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Jung vs. Ige,http://ufcstats.com/event-details/9ddfb3369a3b0394,2021-06-19,"Las Vegas, Nevada, USA",,2021,6,19,5,Las Vegas,Nevada,USA,False,True
UFC 263: Adesanya vs. Vettori 2,http://ufcstats.com/event-details/0b64d0fed453ef7f,2021-06-12,"Glendale, Arizona, USA",,2021,6,12,5,Glendale,Arizona,USA,True,False
UFC Fight Night: Rozenstruik vs. Sakai,http://ufcstats.com/event-details/3b2485c8d5c8b580,2021-06-05,"Las Vegas, Nevada, USA",,2021,6,5,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Font vs. Garbrandt,http://ufcstats.com/event-details/277ffed20cf07aea,2021-05-22,"Las Vegas, Nevada, USA",,2021,5,22,5,Las Vegas,Nevada,USA,False,True
UFC 262: Oliveira vs. Chandler,http://ufcstats.com/event-details/744f50016c39c26c,2021-05-15,"Houston, Texas, USA",,2021,5,15,5,Houston,Texas,USA,True,False
UFC Fight Night: Rodriguez vs. Waterson,http://ufcstats.com/event-details/58a36b4ccf5dc30e,2021-05-08,"Las Vegas, Nevada, USA",,2021,5,8,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Reyes vs. Prochazka,http://ufcstats.com/event-details/d57e6a8971b6d2bd,2021-05-01,"Las Vegas, Nevada, USA",,2021,5,1,5,Las Vegas,Nevada,USA,False,True
UFC 261: Usman vs. Masvidal 2,http://ufcstats.com/event-details/27541033b97c076d,2021-04-24,"Jacksonville, Florida, USA",,2021,4,24,5,Jacksonville,Florida,USA,True,False
UFC Fight Night: Whittaker vs. Gastelum,http://ufcstats.com/event-details/4a35913bd9aa4161,2021-04-17,"Las Vegas, Nevada, USA",,2021,4,17,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Vettori vs. Holland,http://ufcstats.com/event-details/9114c8ded5ccd71d,2021-04-10,"Las Vegas, Nevada, USA",,2021,4,10,5,Las Vegas,Nevada,USA,False,True
UFC 260: Miocic vs. Ngannou,http://ufcstats.com/event-details/6597b611f1c32555,2021-03-27,"Las Vegas, Nevada, USA",,2021,3,27,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Brunson vs. Holland,http://ufcstats.com/event-details/c36e1f4fa755ffb4,2021-03-20,"Las Vegas, Nevada, USA",,2021,3,20,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Edwards vs. Muhammad,http://ufcstats.com/event-details/8c90c1563972e44d,2021-03-13,"Las Vegas, Nevada, USA",,2021,3,13,5,Las Vegas,Nevada,USA,False,True
UFC 259: Blachowicz vs. Adesanya,http://ufcstats.com/event-details/6e2b1d631832921d,2021-03-06,"Las Vegas, Nevada, USA",,2021,3,6,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Rozenstruik vs. Gane,http://ufcstats.com/event-details/81b57acd6975ac06,2021-02-27,"Las Vegas, Nevada, USA",,2021,2,27,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Blaydes vs. Lewis,http://ufcstats.com/event-details/bfe95ec546692b13,2021-02-20,"Las Vegas, Nevada, USA",,2021,2,20,5,Las Vegas,Nevada,USA,False,True
UFC 258: Usman vs. Burns,http://ufcstats.com/event-details/3f7c14c7eca7195d,2021-02-13,"Las Vegas, Nevada, USA",,2021,2,13,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Overeem vs. Volkov,http://ufcstats.com/event-details/a1153013cb5f628f,2021-02-06,"Las Vegas, Nevada, USA",,2021,2,6,5,Las Vegas,Nevada,USA,False,True
UFC 257: Poirier vs. McGregor,http://ufcstats.com/event-details/4304992c2acc187b,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2021,1,23,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,True,False
UFC Fight Night: Chiesa vs. Magny,http://ufcstats.com/event-details/56116537d71a578c,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2021,1,20,2,Abu Dhabi,Abu Dhabi,United Arab Emirates,False,True
UFC Fight Night: Holloway vs. Kattar,http://ufcstats.com/event-details/307064d3e0f036c2,2021-01-16,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2021,1,16,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,False,True
UFC Fight Night: Thompson vs. Neal,http://ufcstats.com/event-details/e49c2db95e572dc8,2020-12-19,"Las Vegas, Nevada, USA",,2020,12,19,5,Las Vegas,Nevada,USA,False,True
UFC 256: Figueiredo vs. Moreno,http://ufcstats.com/event-details/d0d43cb9b14f231c,2020-12-12,"Las Vegas, Nevada, USA",,2020,12,12,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Hermansson vs. Vettori,http://ufcstats.com/event-details/398b440e73d55b8b,2020-12-05,"Las Vegas, Nevada, USA",,2020,12,5,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Smith vs. Clark,http://ufcstats.com/event-details/992c82450d96f726,2020-11-28,"Las Vegas, Nevada, USA",,2020,11,28,5,Las Vegas,Nevada,USA,False,True
UFC 255: Figueiredo vs. Perez,http://ufcstats.com/event-details/bbb15f301e4a490a,2020-11-21,"Las Vegas, Nevada, USA",,2020,11,21,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Felder vs. Dos Anjos,http://ufcstats.com/event-details/3bc27ec15facbcf3,2020-11-14,"Las Vegas, Nevada, USA",,2020,11,14,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Santos vs. Teixeira,http://ufcstats.com/event-details/41dca66f9dadfc86,2020-11-07,"Las Vegas, Nevada, USA",,2020,11,7,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Hall vs. Silva,http://ufcstats.com/event-details/ad044be25c94dcfd,2020-10-31,"Las Vegas, Nevada, USA",,2020,10,31,5,Las Vegas,Nevada,USA,False,True
UFC 254: Khabib vs. Gaethje,http://ufcstats.com/event-details/c3c38c86f5ab9b5c,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2020,10,24,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,True,False
UFC Fight Night: Ortega vs. The Korean Zombie,http://ufcstats.com/event-details/d4f364dd076bb0e2,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2020,10,17,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,False,True
UFC Fight Night: Moraes vs. Sandhagen,http://ufcstats.com/event-details/fd4578cac86d75ca,2020-10-10,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2020,10,10,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,False,True
UFC Fight Night: Holm vs. Aldana,http://ufcstats.com/event-details/805ad1801eb26abb,2020-10-03,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2020,10,3,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,False,True
UFC 253: Adesanya vs. Costa,http://ufcstats.com/event-details/e69c5ce12f4e762b,2020-09-26,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2020,9,26,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,True,False
UFC Fight Night: Covington vs. Woodley,http://ufcstats.com/event-details/831b937811804dad,2020-09-19,"Las Vegas, Nevada, USA",,2020,9,19,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Waterson vs. Hill,http://ufcstats.com/event-details/9c37681096c6f3a9,2020-09-12,"Las Vegas, Nevada, USA",,2020,9,12,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Overeem vs. Sakai,http://ufcstats.com/event-details/542db012217ecb83,2020-09-05,"Las Vegas, Nevada, USA",,2020,9,5,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Smith vs. Rakic,http://ufcstats.com/event-details/e29cf523ebd155c5,2020-08-29,"Las Vegas, Nevada, USA",,2020,8,29,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Munhoz vs. Edgar,http://ufcstats.com/event-details/af1e5c64b8663aa0,2020-08-22,"Las Vegas, Nevada, USA",,2020,8,22,5,Las Vegas,Nevada,USA,False,True
UFC 252: Miocic vs. Cormier 3,http://ufcstats.com/event-details/bda04c573563cc2e,2020-08-15,"Las Vegas, Nevada, USA",,2020,8,15,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Lewis vs. Oleinik,http://ufcstats.com/event-details/7a82635ffa9b59fe,2020-08-08,"Las Vegas, Nevada, USA",,2020,8,8,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Brunson vs. Shahbazyan,http://ufcstats.com/event-details/3746e21bb508391a,2020-08-01,"Las Vegas, Nevada, USA",,2020,8,1,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Whittaker vs. Till,http://ufcstats.com/event-details/dde70a112e053a6c,2020-07-25,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2020,7,25,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,False,True
UFC Fight Night: Figueiredo vs. Benavidez 2,http://ufcstats.com/event-details/ddbd0d6259ce57cc,2020-07-18,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2020,7,18,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,False,True
UFC Fight Night: Kattar vs. Ige,http://ufcstats.com/event-details/18f5669a92e99d92,2020-07-15,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2020,7,15,2,Abu Dhabi,Abu Dhabi,United Arab Emirates,False,True
UFC 251: Usman vs. Masvidal,http://ufcstats.com/event-details/dbd198f780286aca,2020-07-11,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2020,7,11,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,True,False
UFC Fight Night: Poirier vs. Hooker,http://ufcstats.com/event-details/c32eab6c2119e989,2020-06-27,"Las Vegas, Nevada, USA",,2020,6,27,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Blaydes vs. Volkov,http://ufcstats.com/event-details/2eab7a6c8b0ed8cc,2020-06-20,"Las Vegas, Nevada, USA",,2020,6,20,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Eye vs. Calvillo,http://ufcstats.com/event-details/1e13936d708bcff7,2020-06-13,"Las Vegas, Nevada, USA",,2020,6,13,5,Las Vegas,Nevada,USA,False,True
UFC 250: Nunes vs. Spencer,http://ufcstats.com/event-details/4c12aa7ca246e7a4,2020-06-06,"Las Vegas, Nevada, USA",,2020,6,6,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Woodley vs. Burns,http://ufcstats.com/event-details/14b9e0f2679a2205,2020-05-30,"Las Vegas, Nevada, USA",,2020,5,30,5,Las Vegas,Nevada,USA,False,True
UFC Fight Night: Overeem vs. Harris,http://ufcstats.com/event-details/dfb965c9824425db,2020-05-16,"Jacksonville, Florida, USA",,2020,5,16,5,Jacksonville,Florida,USA,False,True
UFC Fight Night: Smith vs. Teixeira,http://ufcstats.com/event-details/5f8e00c27b7e7410,2020-05-13,"Jacksonville, Florida, USA",,2020,5,13,2,Jacksonville,Florida,USA,False,True
UFC 249: Ferguson vs. Gaethje,http://ufcstats.com/event-details/898337ef520fe4d3,2020-05-09,"Jacksonville, Florida, USA",,2020,5,9,5,Jacksonville,Florida,USA,True,False
UFC Fight Night: Lee vs. Oliveira,http://ufcstats.com/event-details/53278852bcd91e11,2020-03-14,"Brasilia, Distrito Federal, Brazil",,2020,3,14,5,Brasilia,Distrito Federal,Brazil,False,True
UFC 248: Adesanya vs. Romero,http://ufcstats.com/event-details/0b5b6876c2a4723f,2020-03-07,"Las Vegas, Nevada, USA",,2020,3,7,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Benavidez vs. Figueiredo,http://ufcstats.com/event-details/fc9a9559a05f2704,2020-02-29,"Norfolk, Virginia, USA",,2020,2,29,5,Norfolk,Virginia,USA,False,True
UFC Fight Night: Felder vs. Hooker,http://ufcstats.com/event-details/33b2f68ef95252e0,2020-02-22,"Auckland, New Zealand",,2020,2,22,5,Auckland,New Zealand,,False,True
UFC Fight Night: Anderson vs. Blachowicz,http://ufcstats.com/event-details/5df17b3620145578,2020-02-15,"Rio Rancho, New Mexico, USA",,2020,2,15,5,Rio Rancho,New Mexico,USA,False,True
UFC 247: Jones vs. Reyes,http://ufcstats.com/event-details/b26d3e3746fb4024,2020-02-08,"Houston, Texas, USA",,2020,2,8,5,Houston,Texas,USA,True,False
UFC Fight Night: Blaydes vs. Dos Santos,http://ufcstats.com/event-details/44aa652b181bcf68,2020-01-25,"Raleigh, North Carolina, USA",,2020,1,25,5,Raleigh,North Carolina,USA,False,True
UFC 246: McGregor vs. Cowboy,http://ufcstats.com/event-details/0c1773639c795466,2020-01-18,"Las Vegas, Nevada, USA",,2020,1,18,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Edgar vs. The Korean Zombie,http://ufcstats.com/event-details/74fefd43f073cd2f,2019-12-21,"Busan, South Korea",,2019,12,21,5,Busan,South Korea,,False,True
UFC 245: Usman vs. Covington,http://ufcstats.com/event-details/4565d435005319c0,2019-12-14,"Las Vegas, Nevada, USA",,2019,12,14,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Overeem vs. Rozenstruik,http://ufcstats.com/event-details/b09890ba7ce1d1e2,2019-12-07,"Washington, DC, USA",,2019,12,7,5,Washington,DC,USA,False,True
UFC Fight Night: Blachowicz vs. Jacare,http://ufcstats.com/event-details/81ca2c245b19b3c5,2019-11-16,"Sao Paulo, Sao Paulo, Brazil",,2019,11,16,5,Sao Paulo,Sao Paulo,Brazil,False,True
UFC Fight Night: Zabit vs. Kattar,http://ufcstats.com/event-details/8d5daf67983b65ba,2019-11-09,"Moscow, Moscow, Russia",,2019,11,9,5,Moscow,Moscow,Russia,False,True
UFC 244: Masvidal vs. Diaz,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,2019-11-02,"New York City, New York, USA",,2019,11,2,5,New York City,New York,USA,True,False
UFC Fight Night: Maia vs. Askren,http://ufcstats.com/event-details/df05aa15b2d66f57,2019-10-26,"Kallang, Singapore",,2019,10,26,5,Kallang,Singapore,,False,True
UFC Fight Night: Reyes vs. Weidman,http://ufcstats.com/event-details/3ae10ac4df3df05c,2019-10-18,"Boston, Massachusetts, USA",,2019,10,18,4,Boston,Massachusetts,USA,False,True
UFC Fight Night: Joanna vs. Waterson,http://ufcstats.com/event-details/0941df56f6ac954b,2019-10-12,"Tampa, Florida, USA",,2019,10,12,5,Tampa,Florida,USA,False,True
UFC 243: Whittaker vs. Adesanya,http://ufcstats.com/event-details/3cf68c1d17f66af7,2019-10-05,"Melbourne, Victoria, Australia",,2019,10,5,5,Melbourne,Victoria,Australia,True,False
UFC Fight Night: Hermansson vs. Cannonier,http://ufcstats.com/event-details/1bf49bf829964144,2019-09-28,"Copenhagen, Denmark",,2019,9,28,5,Copenhagen,Denmark,,False,True
UFC Fight Night: Rodriguez vs. Stephens,http://ufcstats.com/event-details/94a5aaf573f780ad,2019-09-21,"Mexico City, Distrito Federal, Mexico",,2019,9,21,5,Mexico City,Distrito Federal,Mexico,False,True
UFC Fight Night: Cowboy vs. Gaethje,http://ufcstats.com/event-details/4834ff149dc9542a,2019-09-14,"Vancouver, British Columbia, Canada",,2019,9,14,5,Vancouver,British Columbia,Canada,False,True
UFC 242: Khabib vs. Poirier,http://ufcstats.com/event-details/a79bfbc01b2264d6,2019-09-07,"Abu Dhabi, Abu Dhabi, United Arab Emirates",,2019,9,7,5,Abu Dhabi,Abu Dhabi,United Arab Emirates,True,False
UFC Fight Night: Andrade vs. Zhang,http://ufcstats.com/event-details/2c104b7e59a72629,2019-08-31,"Shenzhen, Guangdong, China",,2019,8,31,5,Shenzhen,Guangdong,China,False,True
UFC 241: Cormier vs. Miocic 2,http://ufcstats.com/event-details/70167689d6a01793,2019-08-17,"Anaheim, California, USA",,2019,8,17,5,Anaheim,California,USA,True,False
UFC Fight Night: Shevchenko vs. Carmouche 2,http://ufcstats.com/event-details/e5d03e4d966126bd,2019-08-10,"Montevideo, Uruguay",,2019,8,10,5,Montevideo,Uruguay,,False,True
UFC Fight Night: Covington vs. Lawler,http://ufcstats.com/event-details/03da33a102d9a45f,2019-08-03,"Newark, New Jersey, USA",,2019,8,3,5,Newark,New Jersey,USA,False,True
UFC 240: Holloway vs. Edgar,http://ufcstats.com/event-details/abcf7e55a0a9ed89,2019-07-27,"Edmonton, Alberta, Canada",,2019,7,27,5,Edmonton,Alberta,Canada,True,False
UFC Fight Night: Dos Anjos vs. Edwards,http://ufcstats.com/event-details/9e0f28d1f639ad73,2019-07-20,"San Antonio, Texas, USA",,2019,7,20,5,San Antonio,Texas,USA,False,True
UFC Fight Night: De Randamie vs. Ladd,http://ufcstats.com/event-details/2f8f3c69522db931,2019-07-13,"Sacramento, California, USA",,2019,7,13,5,Sacramento,California,USA,False,True
UFC 239: Jones vs. Santos,http://ufcstats.com/event-details/6c9383ffab2725a5,2019-07-06,"Las Vegas, Nevada, USA",,2019,7,6,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Ngannou vs. Dos Santos,http://ufcstats.com/event-details/c0c1bc0766df4c00,2019-06-29,"Minneapolis, Minnesota, USA",,2019,6,29,5,Minneapolis,Minnesota,USA,False,True
UFC Fight Night: Moicano vs. The Korean Zombie,http://ufcstats.com/event-details/b16a7e6a627e9789,2019-06-22,"Greenville, South Carolina, USA",,2019,6,22,5,Greenville,South Carolina,USA,False,True
UFC 238: Cejudo vs. Moraes,http://ufcstats.com/event-details/e31502e3f79d00c5,2019-06-08,"Chicago, Illinois, USA",,2019,6,8,5,Chicago,Illinois,USA,True,False
UFC Fight Night: Gustafsson vs. Smith,http://ufcstats.com/event-details/cbc071cb20ea59c7,2019-06-01,"Stockholm, Sweden",,2019,6,1,5,Stockholm,Sweden,,False,True
UFC Fight Night: Dos Anjos vs. Lee,http://ufcstats.com/event-details/6b8f28da9a483049,2019-05-18,"Rochester, New York, USA",,2019,5,18,5,Rochester,New York,USA,False,True
UFC 237: Namajunas vs. Andrade,http://ufcstats.com/event-details/9de7c97e1c0d7927,2019-05-11,"Rio de Janeiro, Rio de Janeiro, Brazil",,2019,5,11,5,Rio de Janeiro,Rio de Janeiro,Brazil,True,False
UFC Fight Night: Iaquinta vs. Cowboy,http://ufcstats.com/event-details/351264d11286d09a,2019-05-04,"Ottawa, Ontario, Canada",,2019,5,4,5,Ottawa,Ontario,Canada,False,True
UFC Fight Night: Jacare vs. Hermansson,http://ufcstats.com/event-details/c912f676692c353a,2019-04-27,"Sunrise, Florida, USA",,2019,4,27,5,Sunrise,Florida,USA,False,True
UFC Fight Night: Overeem vs. Oleinik,http://ufcstats.com/event-details/7dcf06c1967801c1,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",,2019,4,20,5,Saint Petersburg,Saint Petersburg,Russia,False,True
UFC 236: Holloway vs. Poirier 2,http://ufcstats.com/event-details/b0550072e5f0afa7,2019-04-13,"Atlanta, Georgia, USA",,2019,4,13,5,Atlanta,Georgia,USA,True,False
UFC Fight Night: Barboza vs. Gaethje,http://ufcstats.com/event-details/9649d75defe0dedb,2019-03-30,"Philadelphia, Pennsylvania, USA",,2019,3,30,5,Philadelphia,Pennsylvania,USA,False,True
UFC Fight Night: Thompson vs. Pettis,http://ufcstats.com/event-details/487c170da059857d,2019-03-23,"Nashville, Tennessee, USA",,2019,3,23,5,Nashville,Tennessee,USA,False,True
UFC Fight Night: Till vs. Masvidal,http://ufcstats.com/event-details/80eacd4da0617c57,2019-03-16,"London, England, United Kingdom",,2019,3,16,5,London,England,United Kingdom,False,True
UFC Fight Night: Lewis vs. Dos Santos,http://ufcstats.com/event-details/e96d8538d3f9d0ed,2019-03-09,"Wichita, Kansas, USA",,2019,3,9,5,Wichita,Kansas,USA,False,True
UFC 235: Jones vs. Smith,http://ufcstats.com/event-details/2d5fbe2103f97053,2019-03-02,"Las Vegas, Nevada, USA",,2019,3,2,5,Las Vegas,Nevada,USA,True,False
UFC Fight Night: Blachowicz vs. Santos,http://ufcstats.com/event-details/6546af7ab545b90c,2019-02-23,"Prague, Czech Republic",,2019,2,23,5,Prague,Czech Republic,,False,True
UFC Fight Night: Ngannou vs. Velasquez,http://ufcstats.com/event-details/a7a79b8efbceaaac,2019-02-17,"Phoenix, Arizona, USA",,2019,2,17,6,Phoenix,Arizona,USA,False,True
UFC 234: Adesanya vs. Silva,http://ufcstats.com/event-details/b5882371e2a3900d,2019-02-09,"Melbourne, Victoria, Australia",,2019,2,9,5,Melbourne,Victoria,Australia,True,False
UFC Fight Night: Assuncao vs. Moraes 2,http://ufcstats.com/event-details/84283233ec42be5f,2019-02-02,"Fortaleza, Ceara, Brazil",,2019,2,2,5,Fortaleza,Ceara,Brazil,False,True
UFC Fight Night: Cejudo vs. Dillashaw,http://ufcstats.com/event-details/d4da8995fc91e7ef,2019-01-19,"Brooklyn, New York, USA",,2019,1,19,5,Brooklyn,New York,USA,False,True
UFC 232: Jones vs. Gustafsson 2,http://ufcstats.com/event-details/c046100aea0dba9a,2018-12-29,"Los Angeles, California, USA",,2018,12,29,5,Los Angeles,California,USA,True,False
UFC Fight Night: Lee vs. Iaquinta,http://ufcstats.com/event-details/7a703c565ccaa18f,2018-12-15,"Milwaukee, Wisconsin, USA",,2018,12,15,5,Milwaukee,Wisconsin,USA,False,True
UFC 231: Holloway vs. Ortega,http://ufcstats.com/event-details/2a74bbba57058f12,2018-12-08,"Toronto, Ontario, Canada",,2018,12,8,5,Toronto,Ontario,Canada,True,False
